Date,Hydro_energy
Jan-06,841.074
Feb-06,632.962
Mar-06,672.459
Apr-06,617.138
May-06,623.144
Jun-06,498.026
Jul-06,512.482
Aug-06,466.393
Sep-06,650.358
Oct-06,769.301
Nov-06,930.017
Dec-06,1074.643
Jan-07,1080.437
Feb-07,784.808
Mar-07,955.707
Apr-07,547.182
May-07,618.498
Jun-07,538.521
Jul-07,642.500
Aug-07,687.608
Sep-07,646.095
Oct-07,659.890
Nov-07,786.651
Dec-07,930.103
Jan-08,1073.177
Feb-08,908.278
Mar-08,942.656
Apr-08,779.457
May-08,544.375
Jun-08,452.210
Jul-08,540.900
Aug-08,598.837
Sep-08,673.451
Oct-08,877.467
Nov-08,885.011
Dec-08,914.181
Jan-09,953.135
Feb-09,727.264
Mar-09,915.158
Apr-09,629.890
May-09,647.796
Jun-09,454.342
Jul-09,488.369
Aug-09,695.847
Sep-09,848.120
Oct-09,736.015
Nov-09,978.292
Dec-09,797.773
Jan-10,625.512
Feb-10,489.540
Mar-10,575.447
Apr-10,622.878
May-10,440.574
Jun-10,359.256
Jul-10,497.666
Aug-10,483.084
Sep-10,582.290
Oct-10,697.927
Nov-10,817.529
Dec-10,513.299
Jan-11,646.122
Feb-11,804.350
Mar-11,616.273
Apr-11,636.291
May-11,586.834
Jun-11,562.502
Jul-11,520.667
Aug-11,620.574
Sep-11,782.930
Oct-11,877.560
Nov-11,828.115
Dec-11,1067.783
Jan-12,1044.123
Feb-12,841.118
Mar-12,730.021
Apr-12,482.671
May-12,502.584
Jun-12,475.884
Jul-12,549.749
Aug-12,546.421
Sep-12,654.028
Oct-12,728.911
Nov-12,858.512
Dec-12,827.978
Jan-13,822.961
Feb-13,705.367
Mar-13,456.143
Apr-13,572.612
May-13,679.560
Jun-13,397.533
Jul-13,397.122
Aug-13,476.045
Sep-13,569.470
Oct-13,686.495
Nov-13,792.487
Dec-13,1005.207
Jan-14,1251.577
Feb-14,1102.135
Mar-14,1139.496
Apr-14,765.891
May-14,467.006
Jun-14,280.204
Jul-14,186.803
Aug-14,504.367
Sep-14,336.245
Oct-14,691.170
Nov-14,934.013
Dec-14,1046.094
Jan-15,1050.809
Feb-15,801.270
Mar-15,902.110
Apr-15,713.149
May-15,766.262
Jun-15,615.725
Jul-15,692.510
Aug-15,585.810
Sep-15,380.030
Oct-15,405.569
Nov-15,864.386
Dec-15,1198.501
Jan-16,1056.737
Feb-16,948.789
Mar-16,814.100
Apr-16,683.515
May-16,535.653
Jun-16,383.834
Jul-16,570.259
Aug-16,604.846
Sep-16,625.243
Oct-16,624.443
Nov-16,646.182
Dec-16,774.649
Jan-17,881.489
Feb-17,757.744
Mar-17,951.083
Apr-17,563.727
May-17,467.867
Jun-17,526.104
Jul-17,536.857
Aug-17,647.853
Sep-17,720.220
Oct-17,890.102
Nov-17,854.095
Dec-17,882.351
Jan-18,839.142
Feb-18,756.003
Mar-18,623.481
Apr-18,659.287
May-18,536.947
Jun-18,384.404
Jul-18,307.993
Aug-18,423.052
Sep-18,633.454
Oct-18,841.938
Nov-18,758.144
Dec-18,869.947
Jan-19,738.859
Feb-19,680.621
Mar-19,889.864
Apr-19,447.032
May-19,294.021
Jun-19,472.218
Jul-19,429.369
Aug-19,602.943
Sep-19,703.288
Oct-19,862.922
Nov-19,549.427
Dec-19,946.955
Jan-20,889.093
Feb-20,910.787
Mar-20,866.206
Apr-20,483.638
May-20,396.565
Jun-20,390.836
Jul-20,538.203
Aug-20,388.517
Sep-20,478.650
Oct-20,718.302
Nov-20,887.782
Dec-20,870.056
Jan-21,773.333
Feb-21,685.153
Mar-21,792.451
Apr-21,691.213
